actress_age,film_title,bond_actor_age,average_girl_age,year,actor,actress,difference,diff_avg
26,Dr. No,32,31.0,1962,Sean Connery,Ursula Andress,6,1
36,Dr. No,32,31.0,1962,Sean Connery,Zena Marshall,-4,1
35,From Russia with Love,33,26.333333333333332,1963,Sean Connery,Eunice Gayson,-2,6
21,From Russia with Love,33,26.333333333333332,1963,Sean Connery,Daniela Bianchi,12,6
23,From Russia with Love,33,26.333333333333332,1963,Sean Connery,Aliza Gur,10,6
24,Thunderball,35,24.2,1965,Sean Connery,Martine Beswick,11,10
24,Thunderball,35,24.2,1965,Sean Connery,Claudine Auger,11,10
28,Thunderball,35,24.2,1965,Sean Connery,Luciana Paluzzi,7,10
23,Thunderball,35,24.2,1965,Sean Connery,Molly Peters,12,10
22,Thunderball,35,24.2,1965,Sean Connery,Maryse Guy Mitsouko,13,10
39,Goldfinger,34,28.6,1964,Sean Connery,Honor Blackman,-5,5
27,Goldfinger,34,28.6,1964,Sean Connery,Shirley Eaton,7,5
23,Goldfinger,34,28.6,1964,Sean Connery,Tania Mallet,11,5
33,Goldfinger,34,28.6,1964,Sean Connery,Nadja Regin,1,5
21,Goldfinger,34,28.6,1964,Sean Connery,Margaret Nolan,13,5
24,You Only Live Twice,37,28.0,1967,Sean Connery,Mie Hama,13,9
28,You Only Live Twice,37,28.0,1967,Sean Connery,Akiko Wakabayashi,9,9
31,You Only Live Twice,37,28.0,1967,Sean Connery,Tsai Chin,6,9
29,You Only Live Twice,37,28.0,1967,Sean Connery,Karin Dor,8,9
31,On Her Majesty's Secret Service,30,26.666666666666668,1969,George Lazenby,Diana Rigg,-1,3
24,On Her Majesty's Secret Service,30,26.666666666666668,1969,George Lazenby,Angela Scoular,6,3
25,On Her Majesty's Secret Service,30,26.666666666666668,1969,George Lazenby,Catherine Schell,5,3
31,Diamonds Are Forever,41,29.0,1971,Sean Connery,Jill St John,10,12
25,Diamonds Are Forever,41,29.0,1971,Sean Connery,Lana Wood,16,12
24,Diamonds Are Forever,41,29.0,1971,Sean Connery,Trina Parks,17,12
36,Diamonds Are Forever,41,29.0,1971,Sean Connery,Denise Perrier,5,12
22,Live and Let Die,46,23.333333333333332,1973,Roger Moore,Jane Seymour,24,22
24,Live and Let Die,46,23.333333333333332,1973,Roger Moore,Gloria Hendry,22,22
24,Live and Let Die,46,23.333333333333332,1973,Roger Moore,Madeline Smith,22,22
32,The Man with the Golden Gun,47,28.0,1974,Roger Moore,Britt Ekland,15,19
24,The Man with the Golden Gun,47,28.0,1974,Roger Moore,Carmen du Sautoy,23,19
38,Octopussy,56,35.5,1983,Roger Moore,Maud Adams,18,20
33,Octopussy,56,35.5,1983,Roger Moore,Kristina Wayborn,23,20
30,The Spy Who Loved Me,50,30.333333333333332,1977,Roger Moore,Barbara Bach,20,19
28,The Spy Who Loved Me,50,30.333333333333332,1977,Roger Moore,Caroline Munro,22,19
33,The Spy Who Loved Me,50,30.333333333333332,1977,Roger Moore,Olga Bisera,17,19
32,Moonraker,52,29.666666666666668,1979,Roger Moore,Lois Chiles,20,22
29,Moonraker,52,29.666666666666668,1979,Roger Moore,Corinne Cléry,23,22
28,Moonraker,52,29.666666666666668,1979,Roger Moore,Emily Bolton,24,22
24,For Your Eyes Only,54,26.666666666666668,1981,Roger Moore,Carole Bouquet,30,27
23,For Your Eyes Only,54,26.666666666666668,1981,Roger Moore,Lynn Holly Johnson,31,27
33,For Your Eyes Only,54,26.666666666666668,1981,Roger Moore,Cassandra Harris,21,27
30,A View to a Kill,58,32.0,1985,Roger Moore,Tanya Roberts,28,26
37,A View to a Kill,58,32.0,1985,Roger Moore,Grace Jones,21,26
29,A View to a Kill,58,32.0,1985,Roger Moore,Fiona Fullerton,29,26
27,The Living Daylights,41,27.0,1987,Timothy Dalton,Maryam d'Abo,14,14
28,Licence to Kill,43,25.0,1989,Timothy Dalton,Carey Lowell,15,18
22,Licence to Kill,43,25.0,1989,Timothy Dalton,Talisa Soto,21,18
25,GoldenEye,42,29.333333333333332,1995,Pierce Brosnan,Izabella Scorupco,17,12
31,GoldenEye,42,29.333333333333332,1995,Pierce Brosnan,Famke Janssen,11,12
32,GoldenEye,42,29.333333333333332,1995,Pierce Brosnan,Serena Gordon,10,12
35,Tomorrow Never Dies,44,30.333333333333332,1997,Pierce Brosnan,Michelle Yeoh,9,13
33,Tomorrow Never Dies,44,30.333333333333332,1997,Pierce Brosnan,Teri Hatcher,11,13
23,Tomorrow Never Dies,44,30.333333333333332,1997,Pierce Brosnan,Cecilie Thomsen,21,13
28,The World Is Not Enough,46,33.0,1999,Pierce Brosnan,Denise Richards,18,13
33,The World Is Not Enough,46,33.0,1999,Pierce Brosnan,Sophie Marceau,13,13
38,The World Is Not Enough,46,33.0,1999,Pierce Brosnan,Serena Scott Thomas,8,13
36,Die Another Day,49,28.0,2002,Pierce Brosnan,Halle Berry,13,21
23,Die Another Day,49,28.0,2002,Pierce Brosnan,Rosamund Pike,26,21
25,Die Another Day,49,28.0,2002,Pierce Brosnan,Rachel Grant,24,21
26,Casino Royale,38,27.5,2006,Daniel Craig,Eva Green,12,10
29,Casino Royale,38,27.5,2006,Daniel Craig,Catherina Murino,9,10
29,Quantum of Solace,40,25.5,2008,Daniel Craig,Olga Kurylenko,11,14
22,Quantum of Solace,40,25.5,2008,Daniel Craig,Gemma Arterton,18,14
33,Skyfall,44,29.0,2012,Daniel Craig,Bérénice Marlohe,11,15
25,Skyfall,44,29.0,2012,Daniel Craig,Tonia Sotiropoulou,19,15
51,Spectre,47,40.5,2015,Daniel Craig,Monica Bellucci,-4,6
30,Spectre,47,40.5,2015,Daniel Craig,Léa Seydoux,17,6
36,No Time to Die,53,34.333333333333336,2021,Daniel Craig,Léa Seydoux,17,18
34,No Time to Die,53,34.333333333333336,2021,Daniel Craig,Lashan Lynch,19,18
33,No Time to Die,53,34.333333333333336,2021,Daniel Craig,Ana de Armas,20,18
